t_ms,sample_index
17797561,0
17797565,64
17797569,128
17797573,192
17797577,256
17797581,320
17797585,384
17797589,448
17797593,512
17797597,576
17797601,640
17797605,704
17797609,768
17797613,832
17797617,896
17797621,960
17797625,1024
17797629,1088
17797633,1152
17797637,1216
17797641,1280
17797645,1344
17797649,1408
17797653,1472
17797657,1536
17797661,1600
17797665,1664
17797669,1728
17797673,1792
17797677,1856
17797681,1920
17797685,1984
17797689,2048
17797693,2112
17797697,2176
17797701,2240
17797705,2304
17797709,2368
17797713,2432
17797717,2496
17797721,2560
17797725,2624
17797729,2688
17797733,2752
17797737,2816
17797741,2880
17797745,2944
17797749,3008
17797753,3072
17797757,3136
17797761,3200
17797765,3264
17797769,3328
17797773,3392
17797777,3456
17797781,3520
17797785,3584
17797789,3648
17797793,3712
17797797,3776
17797801,3840
17797805,3904
17797809,3968
17797813,4032
17797817,4096
17797821,4160
17797825,4224
17797829,4288
17797833,4352
17797837,4416
17797841,4480
17797845,4544
17797849,4608
17797853,4672
17797857,4736
17797861,4800
17797865,4864
17797869,4928
17797873,4992
17797877,5056
17797881,5120
17797885,5184
17797889,5248
17797893,5312
17797897,5376
17797901,5440
17797905,5504
17797909,5568
17797913,5632
17797917,5696
17797921,5760
17797925,5824
17797929,5888
17797933,5952
17797937,6016
17797941,6080
17797945,6144
17797949,6208
17797953,6272
17797957,6336
17797961,6400
17797965,6464
17797969,6528
17797973,6592
17797977,6656
17797981,6720
17797985,6784
17797989,6848
17797993,6912
17797997,6976
17798001,7040
17798005,7104
17798009,7168
17798013,7232
17798017,7296
17798021,7360
17798025,7424
17798029,7488
17798033,7552
17798037,7616
17798041,7680
17798045,7744
17798049,7808
17798053,7872
17798057,7936
17798061,8000
17798065,8064
17798069,8128
17798073,8192
17798077,8256
17798081,8320
17798085,8384
17798089,8448
17798093,8512
17798097,8576
17798101,8640
17798105,8704
17798109,8768
17798113,8832
17798117,8896
17798121,8960
17798125,9024
17798129,9088
17798133,9152
17798137,9216
17798141,9280
17798145,9344
17798149,9408
17798153,9472
17798157,9536
17798161,9600
17798165,9664
17798169,9728
17798173,9792
17798177,9856
17798181,9920
17798185,9984
17798189,10048
17798193,10112
17798197,10176
17798201,10240
17798205,10304
17798209,10368
17798213,10432
17798217,10496
17798221,10560
17798225,10624
17798229,10688
17798233,10752
17798237,10816
17798241,10880
17798245,10944
17798249,11008
17798253,11072
17798257,11136
17798261,11200
17798265,11264
17798269,11328
17798273,11392
17798277,11456
17798281,11520
17798285,11584
17798289,11648
17798293,11712
17798297,11776
17798301,11840
17798305,11904
17798309,11968
17798313,12032
17798317,12096
17798321,12160
17798325,12224
17798329,12288
17798333,12352
17798337,12416
17798341,12480
17798345,12544
17798349,12608
17798353,12672
17798357,12736
17798361,12800
17798365,12864
17798369,12928
17798373,12992
17798377,13056
17798381,13120
17798385,13184
17798389,13248
17798393,13312
17798397,13376
17798401,13440
17798405,13504
17798409,13568
17798413,13632
17798417,13696
17798421,13760
17798425,13824
17798429,13888
17798433,13952
17798437,14016
17798441,14080
17798445,14144
17798449,14208
17798453,14272
17798457,14336
17798461,14400
17798465,14464
17798469,14528
17798473,14592
17798477,14656
17798481,14720
17798485,14784
17798489,14848
17798493,14912
17798497,14976
17798501,15040
17798505,15104
17798509,15168
17798513,15232
17798517,15296
17798521,15360
17798525,15424
17798529,15488
17798533,15552
17798537,15616
17798541,15680
17798545,15744
17798549,15808
17798553,15872
17798557,15936
17798561,16000
17798565,16064
17798569,16128
17798573,16192
17798577,16256
17798581,16320
17798585,16384
17798589,16448
17798593,16512
17798597,16576
17798601,16640
17798605,16704
17798609,16768
17798613,16832
17798617,16896
17798621,16960
17798625,17024
17798629,17088
17798633,17152
17798637,17216
17798641,17280
17798645,17344
17798649,17408
17798653,17472
17798657,17536
17798661,17600
17798665,17664
17798669,17728
17798673,17792
17798677,17856
17798681,17920
17798685,17984
17798689,18048
17798693,18112
17798697,18176
17798701,18240
17798705,18304
17798709,18368
17798713,18432
17798717,18496
17798721,18560
17798725,18624
17798729,18688
17798733,18752
17798737,18816
17798741,18880
17798745,18944
17798749,19008
17798753,19072
17798757,19136
17798761,19200
17798765,19264
17798769,19328
17798773,19392
17798777,19456
17798781,19520
17798785,19584
17798789,19648
17798793,19712
17798797,19776
17798801,19840
17798805,19904
17798809,19968
17798813,20032
17798817,20096
17798821,20160
17798825,20224
17798829,20288
17798833,20352
17798837,20416
17798841,20480
17798845,20544
17798849,20608
17798853,20672
17798857,20736
17798861,20800
