t_ms,ax,ay,az,gx,gy,gz
17797567,-0.7711,0.5883,0.2568,0.4272,0.0000,-0.5493
17797576,-0.7722,0.5873,0.2587,0.4272,0.0000,-0.6104
17797586,-0.7716,0.5867,0.2610,0.6104,-0.1221,-0.4883
17797596,-0.7725,0.5895,0.2604,-0.1221,-0.0610,-0.3052
17797606,-0.7725,0.5908,0.2599,-0.7324,0.3052,-0.0610
17797615,-0.7710,0.5896,0.2588,-0.5493,0.3052,-0.1831
17797624,-0.7715,0.5905,0.2576,-0.2441,0.3662,-0.1831
17797634,-0.7714,0.5918,0.2582,0.1831,0.1221,-0.3052
17797643,-0.7719,0.5916,0.2594,0.4272,-0.1221,-0.4272
17797652,-0.7737,0.5923,0.2604,0.6714,-0.6104,-0.4883
17797662,-0.7745,0.5927,0.2603,0.9155,-0.7935,-0.4883
17797672,-0.7727,0.5922,0.2583,0.9766,-0.6714,-0.5493
17797681,-0.7697,0.5920,0.2567,0.6104,-0.3052,-0.4883
17797690,-0.7662,0.5925,0.2561,0.7324,-0.2441,-0.4272
17797700,-0.7649,0.5934,0.2552,0.1831,-0.0610,-0.4272
17797709,-0.7653,0.5924,0.2563,0.0610,0.1831,-0.4272
17797719,-0.7672,0.5924,0.2574,0.2441,0.0000,-0.5493
17797728,-0.7699,0.5929,0.2570,-0.1221,0.1831,-0.5493
17797738,-0.7714,0.5906,0.2579,-0.3052,0.3662,-0.6714
17797748,-0.7743,0.5891,0.2582,0.2441,0.0610,-0.7324
17797756,-0.7748,0.5890,0.2584,0.3662,-0.2441,-0.9155
17797766,-0.7736,0.5891,0.2599,0.1221,-0.4883,-0.8545
17797776,-0.7728,0.5881,0.2596,0.2441,-0.7324,-0.9766
17797785,-0.7706,0.5858,0.2577,0.3662,-0.6714,-0.9766
17797795,-0.7688,0.5865,0.2561,0.4883,-0.5493,-0.9766
17797804,-0.7667,0.5930,0.2567,0.6714,-0.3662,-0.7324
17797814,-0.7667,0.5973,0.2584,0.7935,-0.4883,-0.7324
17797823,-0.7700,0.5975,0.2587,0.6714,-0.4883,-0.6104
17797832,-0.7722,0.5962,0.2581,0.3662,-0.6714,-0.4883
17797842,-0.7723,0.5897,0.2581,0.1221,-0.4883,-0.3052
17797851,-0.7717,0.5828,0.2592,0.4272,-0.3662,-0.1221
17797861,-0.7712,0.5845,0.2585,0.6104,-0.1831,0.0000
17797871,-0.7693,0.5908,0.2556,0.3052,-0.0610,-0.1221
17797880,-0.7654,0.5948,0.2562,0.9766,-0.6714,-0.6714
17797890,-0.7649,0.5986,0.2595,1.5869,-1.2207,-1.0986
17797899,-0.7659,0.5985,0.2599,1.5259,-1.2817,-1.4038
17797908,-0.7653,0.5952,0.2567,1.2207,-1.2207,-1.2207
17797918,-0.7665,0.5946,0.2522,0.6714,-0.9155,-0.9766
17797927,-0.7689,0.5934,0.2500,0.1831,-0.1831,-0.6104
17797936,-0.7706,0.5898,0.2511,-0.4883,0.6104,-0.5493
17797946,-0.7725,0.5883,0.2537,-0.9155,1.5259,-0.4883
17797956,-0.7743,0.5887,0.2552,-1.2207,2.4414,-0.7324
17797965,-0.7761,0.5869,0.2560,-1.2817,3.6011,-1.0986
